RprtDt,StateCd,MMMCd_2015,AvgAnlsdCmtdSuppBdgt,PrtcpntCnt
31-Dec-21,NSW,MM6,,11
31-Dec-21,NT,ALL,"104,000.00",299
31-Dec-21,NT,MM2,"102,000.00",240
31-Dec-21,NT,MM5,,11
31-Dec-21,NT,MM6,"116,000.00",62
31-Dec-21,OT,ALL,"71,000.00",13
31-Dec-21,OT,MM6,"71,000.00",13
31-Dec-21,QLD,ALL,"67,000.00",5540
31-Dec-21,QLD,MM1,"66,000.00",4444
31-Dec-21,QLD,MM2,"73,000.00",796
31-Dec-21,QLD,MM3,"59,000.00",74
31-Dec-21,QLD,MM4,"51,000.00",97
31-Dec-21,QLD,MM5,"73,000.00",118
31-Dec-21,QLD,MM6,"68,000.00",24
31-Dec-21,SA,ALL,"59,000.00",3172
31-Dec-21,SA,MM1,"58,000.00",2989
31-Dec-21,SA,MM2,"87,000.00",22
31-Dec-21,SA,MM3,"74,000.00",69
31-Dec-21,SA,MM4,"42,000.00",32
31-Dec-21,SA,MM5,"71,000.00",42
31-Dec-21,SA,MM6,"93,000.00",22
31-Dec-21,TAS,ALL,"69,000.00",361
31-Dec-21,TAS,MM2,"69,000.00",302
31-Dec-21,TAS,MM3,"63,000.00",24
31-Dec-21,TAS,MM5,"78,000.00",31
31-Dec-21,TAS,MM6,,11
31-Dec-21,VIC,ALL,"62,000.00",15731
31-Dec-21,VIC,MM1,"62,000.00",14746
31-Dec-21,VIC,MM2,"52,000.00",402
31-Dec-21,VIC,MM3,"57,000.00",252
31-Dec-21,VIC,MM4,"84,000.00",144
31-Dec-21,VIC,MM5,"62,000.00",170
31-Dec-21,VIC,MM6,,11
31-Dec-21,WA,ALL,"64,000.00",3540
31-Dec-21,WA,MM1,"65,000.00",3337
31-Dec-21,WA,MM2,"82,000.00",69
31-Dec-21,WA,MM3,"51,000.00",49
31-Dec-21,WA,MM4,,11
31-Dec-21,WA,MM5,"52,000.00",44
31-Dec-21,WA,MM6,"53,000.00",35
